title,content,tokens
Page 0,"23 Models of Situated Action: Computer Games and the Problem of Transfer David Williamson Shaffer Any discussion of games and learning has to address a fundamental question: How do we know that players aren’t just learning how to play the game?Thatis,howdoweknowthatwhattheydointhegamewillhelpthem do other things in the world around them, the world outside the game? Answering such questions forces one to come dangerously close to – indeed, to step right on – the third rail in the study of learning today: the problem of transfer. No term, no word, no concept is as problematic, as debated, or as contentious. Schema theorists say that it is essential, socio- cultural theorists say that it doesn’t exist, and never the twain shall meet, it seems. Debates are held in scholarly journals (see, for example, Anderson, Reder, & Simon, 1996; Greeno, 1997; Hutchins, 2008; Packer, 2001; Seel, 2001). Graduate students and junior faculty avoid the term, knowing that where you stand on transfer determines where you sit in the ield, and whatever you say will cast you in a dubious light somewhere. But the problem of transfer is unavoidable in a ield that examines the conditions under which and the processes by which people learn. As Dewey (1938) points out: “Every experience inluences in some degree the objective conditions under which further experiences are had” (p. 37). A key question for the design of games for learning has to be: “What are the mechanisms by which one experience inluences another?”The premise of education writ large is that it is possible for experience to transfer – in this general sense – from one context to another. Otherwise, there is no edu- cation, in games, in school, or anywhere.There is no learning.There is no continuity, no culture, nothing beyond the immediate here and now. To make matters worse, no currently dominant theory accounts very well for this central problem of how experiences in one context (such as a computer game or a classroom) change the way learners think in other con- texts. At the microscopic level of analogical problem schemata (Anderson, 403 Cambridge Core terms of use, available at https://www.cambridge.org/core/terms. https://doi.org/10.1017/CBO9781139031127.028 to the",519
Page 1,"404 Shaffer 1993), theories of learning as transformation of an individual suggest that transfer occurs when a solution developed to address one problem is used to solve an analogically similar problem. The schema view is pervasive (formally or informally) in the current education system, in which isolated facts and problem-solving strategies are taught in classroom settings with the expectation that students will use those pieces of information and tools in other contexts. But nearly a half-century of research suggests that trans- fer in this sense is rare, dificult to achieve, and limited to problems that are very similar to the original context in which a solution is developed (the phenomenon of near-transfer). At the macroscopic level of membership in communities of practice (Lave & Wenger, 1991), theories of learning as participation by individuals in larger practices suggest that individuals learn by becoming members of a community, being mentored to do more tasks in different contexts within which the community operates. In this view, however, skills do not transfer between settings; individuals can learn only to accomplish particular tasks within particular settings.Thus neither view accounts very well for how students might be able to take an experience in a game, classroom, or after-school program and use it to accomplish meaningful ends in their lives outside school; so neither view, by itself, is particularly useful for the development and analysis of new technologies and new environments for learning. In presenting these“two views,”I do not mean to suggest that there are no other extant theories of learning. I only argue that the two dominant paradigms for thinking about learning – as exempliied by particular theo- ries – are mutually incompatible and individually incomplete as guides to the analysis and development of learning environments. This division is particularly problematic in the study of games for learning, a domain in which designers have little – too little – in the way of research and theory to guide them. They can follow one paradigm and emphasize repetition of general principles or the other and build richly immersive environments that encourage situated thinking,with little theo- retical framework as to how learning in a virtual situation will lead to action in the real world. This makes it dificult to advance our understanding of how learning takes place in games – and thus what we can do as designers to make games for learning more effective,more powerful,more meaning- ful, and more useful in the broad curriculum of students’ lives. It does not have to be this way.A new generation of scholars has begun to work in the last decade, after the schism that divided sociocultural and symbolic approaches to the study of learning, trained to think about issues from both points of view. I deliberately include in this generation both Cambridge Core terms of use, available at https://www.cambridge.org/core/terms. https://doi.org/10.1017/CBO9781139031127.028 to the",600
Page 2,"Models of Situated Action 405 those whose training incorporated symbolic and sociocultural perspectives and those who began working from one perspective and have taken up others later in their careers. A great deal of work went into distinguishing a coherent sociocultural science of learning from the orthodoxy of classi- cal cognitive science, and the study of learning is deeply indebted to that work. But that hard-fought distinction having been made, some scholars are increasingly interested less in asking which view is right than in under- standing how these views can inform one another – and how together they can advance our understanding of how to design environments for learn- ing. In what follows, I argue that we can understand learning – the trans- fer of experience from one context to another – as something that can be discussed, analyzed, conceptualized, and supported as both transformation of an individual and participation in a practice. One way to start in this direction would be to provide an overview of extant theories, mapping the current landscape, highlighting the strengths and weaknesses of each approach. However, such overviews have already been written (see the particularly lucid and comprehensive Barab & Plucker, 2002) and in any event tend to emphasize the existing dialectic rather than the possible synthesis. Instead, I follow Chi’s (1997) example from some years ago,in which she mapped a complex theoretical landscape by providing one particular pathway through it. In this chapter I begin by framing the problem in both personal and literary terms. I then propose a particular theoretical perspective on the issue. In so doing, I will present some empirical data and refer to studies of computer games that use, explore, and expand this theory; but my purpose is primarily descriptive rather than demonstrative. My purpose is descrip- tive because my larger goal is less to argue for one particular theory than to provide an example of a broader class of theories that examine learn- ing – and the mechanisms of learning – as simultaneously individual and cultural. I argue that these are the kind of theories that we need to develop to study learning that happens in games: learning that is simultaneously and authentically both symbolic and situated. The Helmets of “Amsterdam” I recently had the great pleasure and privilege of spending a year on sab- batical, living with my family in a city in Europe. This city – let’s call it Amsterdam for convenience sake, although any similarity to the real city of Amsterdam is purely coincidental – is a city of some three quarters of a million people and, remarkably, over a million bicycles. Everyone in Cambridge Core terms of use, available at https://www.cambridge.org/core/terms. https://doi.org/10.1017/CBO9781139031127.028 to the",569
Page 3,"406 Shaffer “Amsterdam,” young and old alike, rides a bike. 2Our seventy-ive-year-old neighbor, for example, whose groceries we helped carry upstairs, rode her bicycle every day to the store. Something like 83 percent of the population of Amsterdam is over the age of fourteen, which makes Amsterdam a city of more than six hundred and twenty thousand adult bike riders. However, in a year of living among six hundred and twenty thousand bicycle-riding adults, I literally never saw a Dutch adult riding with a helmet.The six hundred and twenty thousand bicycle-riding adults of Amsterdam certainly know about helmets. They make their children wear them.They use helmets when riding racing bicy- cles through the countryside. But no adult could be seen – or would be seen – wearing a helmet while riding his or her commuter bike in the city. This may be purely a practical matter, in the sense that Amsterdam is well planned for bicycle trafic. There are separate lanes for bicycles on most streets, and many are actually physically separated from lanes for other vehicular trafic. Cars and buses – and even pedestrians – reliably give bicycles the right of way. So Amsterdam is arguably a safer city for bicyclists than many, and that certainly could be part of the reason adults do not wear helmets. However, I argue that this phenomenon is better understood as an aspect of culture. In making this claim, I am using the term culture fol- lowing Geertz (1973) (who is himself following Mead and others) as “a trafic in...signiicant symbols – words for the most part, but also gestures, drawings, musical sounds, mechanical devices like clocks [or, for that mat- ter, bicycles and helmets] or natural objects like jewels – anything, in fact, that is disengaged from its mere actuality and used to impose meaning upon experience” (p. 45). But although Geertz was writing half a century ago (and Mead yet again a half a century before him), current scholarship continues to look at“shared cultural systems of meaning”(Lave &Wenger, 1991, p. 54) and “cultural models” (Gee, 1999), at culture as a system of public symbols through which experience is understood (Sahlins, 2000). It perhaps requires little convincing that a bicycle helmet – or rather, in this case, the choice someone makes about whether to wear a helmet or not – is a cultural phenomenon, but still I offer as evidence the fact that during my stay in Amsterdam, Dutch friends and colleagues almost without fail commented that wearing a bicycle helmet made me look like a foreigner. Their occasional laughter (good-natured, of course) marked the helmet as the token of an outsider. Carrying a helmet after riding to a meeting led to discussions of the relative skill of Dutch and American bicyclists. And, of course, the pragmatics of cycling in Amsterdam – from Cambridge Core terms of use, available at https://www.cambridge.org/core/terms. https://doi.org/10.1017/CBO9781139031127.028 to the",659
Page 4,"Models of Situated Action 407 the organization of the roads to the habits of drivers – are also part of the 3 cultural habitus of Amsterdam’s social organization. I make this point about the cultural nature of bicycle helmets because I want to draw attention to a particular fact about life as an American liv- ing in Amsterdam: There were other Americans living there too, and most of them did not wear bike helmets either. Or, to be more precise, as in Dutch families, most American children wore bicycle helmets in Amsterdam, and most American adults did not. Being a curious ethnographer, I nat- urally conducted some informal interviews with a convenient sample of Americans who were living in Amsterdam at the time. 4 In this small survey of American acquaintances, I discovered four interesting results: 1. All the adults I spoke with said they wore helmets when riding a bicycle in the United States. 2. Among those who did not wear a helmet inAmsterdam,the reasons they gave were various: “I feel silly doing it here,” “No one else does,”“I feel safer here,”“I have to take it on and off so many times,” “It messes up my hair,” and so forth. 3. Those who continued to wear helmets while inAmsterdam gave the same reason every time: “It’s safer.” 4. The length of time someone had been living in Amsterdam did not seem to make much difference as to whether someone wore a helmet or not. After a few months (or even weeks), recent arrivals were just as likely to be wearing a helmet as those who had been in Amsterdam for longer periods of time. Now I tell this little story – this small ly of personal experience now pre- served in the amber of print – because although the issue is perhaps a small one (except, of course, for those Americans unfortunate enough to be in a bicycle accident while inAmsterdam),it illustrates a central dilemma in the study of learning: If all the Americans living in Amsterdam wore helmets in the United States, why did some of them stop wearing helmets in Amsterdam while others continued to wear them? Golding versus Defoe The wearing of bicycle helmets is a cultural practice: one that is a part of the culture in much of the United States and part of the culture in very Cambridge Core terms of use, available at https://www.cambridge.org/core/terms. https://doi.org/10.1017/CBO9781139031127.028 to the",532
Page 5,"408 Shaffer little of Amsterdam. This means that the question of who does and does not wear a helmet is a matter of enculturation. By this I mean, following Brown, Collins, and Duguid (1989), that wearing (or not wearing) bicycle helmets is one of the ways in which “people, consciously or unconsciously, adopt the behavior and belief systems of new social groups”(p.34).In other words, we have to ask why some Americans adopted the Dutch behavior and belief system regarding bicycle riding, whereas others did not. Wertsch (1998) discusses this question of the adoption (or lack of adop- tion)ofculturalpracticesinterms(followingBakhtin,2002)ofresistanceand appropriation, where, in this case,Americans who continue to wear helmets are resisting the dominant local culture and those who follow local prac- tice are appropriating the local culture. But this theme of selective encul- turation is quite universal. Consider, for example, two well-known novels: William Golding’s (1954) Lord of the Flies and Daniel Defoe’s (1996) The Life and Strange Surprizing Adventures of Robinson Crusoe of York, Mariner: Who Lived Eight and Twenty Years,All Alone in an Un-inhabited Island on the Coast ofAmerica,Near the Mouth of the Great River of Oroonoque; Having Been Cast on Shore by Shipwreck, Where-in All the Men Perished but Himself. With an Account How He Was at Last as Strangely Deliverd by Pyrates. Written by Himself. In Lord of the Flies, a group of British schoolboys is marooned on an island. They quickly abandon the social norms and conventions of British society and, led by former choirboy Jack Merridew, engage in ritual tor- ture and human sacriice. Robinson Crusoe, in contrast, is a British sailor who is similarly shipwrecked.But unlike Merridew,Crusoe recreates in the wilderness a model of his homeland (complete with his famous manser- vant, Friday) and defeats a tribe of native cannibals in battle before being rescued. Leaving aside the obvious political overtones of these works (both imperialist and anti-imperialist), these novels both explore the stability of enculturation in the face of new social and material conditions. That is, they ask if once we have become enculturated, practices can be reenacted in another setting, or whether they can only be expressed within the orig- inal cultural surround. Once we have learned to function in a particular context, can we recreate the conditions we need to continue using those practices elsewhere? Or when we leave the supporting structures of the original cultural context, do we lose the ability to enact the practices that came with it? Are we, in the end, more like Crusoe or Merridew? The answer is, of course, both – and neither. Or rather, we are some- times one and sometimes the other. Developing a theory that explains Cambridge Core terms of use, available at https://www.cambridge.org/core/terms. https://doi.org/10.1017/CBO9781139031127.028 to the",686
Page 6,"Models of Situated Action 409 under what conditions we are like the British sailor Crusoe or the British schoolboy Merridew is central to understanding the nature of learning and thus of learning in games and other technological environments. Communities of Dysentery To illustrate why Robinson Crusoe is so important to the science of learning, permit me to use one more piece of personal experience, this time from being a Peace Corps volunteer in a country that I shall call “Nepal.” 5 In the United States, all the water that comes from a tap (in a sink, drinking fountain, or bathtub, for example) has been treated to remove parasites such as amoebae, bacteria, and other threats to human health and digestion. In Nepal, quite the reverse is true: There is, for all intents and purposes,no treated drinking water anywhere.As a result,part of the inten- sive training in Nepali culture given to Peace Corps volunteers includes water puriication practices that are the norm neither in the United States nor in Nepal. Acquiring those practices means acquiring a new Discourse, in the sense that Gee (2001) describes: a new way of “talking, listening, writing, reading, acting, interacting, believing, valuing, and feeling (and using var- ious objects, symbols, images, tools, and technologies)” (p. 719). Thus, for example, it requires developing new skills, such as learning how to ask that food be served on a plate that has been dried with a towel or learning the proper way to use iodine to purify a bottle of water. It means developing a fairly elaborate repertoire of cultural knowledge, including when fruit or eggs might be safe to eat and under what conditions the rag being used to wipe the plate might be more contaminated than the water itself. It means acquiring the values that let you protect your personal hygiene in a way that is culturally sensitive.It means developing a new decision-making pro- cess regarding food and drink, a new set of concerns and criteria: a more complex calculus of hunger and thirst than either Americans or Nepalese practice. And the cumulative acquisition of this Discourse requires devel- oping a new identity that is neither quite American nor quite Nepali. Anyone who doubts that Peace Corps volunteers have a shared culture in this regard need only listen to the endless and intimate discussions volun- teers have of the state of their intestines whenever they gather. In this sense, acquiring the Peace Corp volunteers’ Discourse of water puriication in Nepal means becoming part of a community of practice. Lave andWenger (1991) describe a community of practice as a group of individuals who share a repertoire of knowledge about and ways of addressing similar Cambridge Core terms of use, available at https://www.cambridge.org/core/terms. https://doi.org/10.1017/CBO9781139031127.028 to the",615
Page 7,"410 Shaffer (often shared) problems and purposes. A community of practice shares a common body of knowledge and set of skills but also a system of values that determines when and how those skills and that knowledge should be employed and a set of processes through which such decisions are made. And,of course,such a community also has a shared identity that is manifest in both overt markers (such as the carrying of a water bottle or wearing of a bicycle helmet) and the shared enactment of the skills,values,and decision- making processes. In fact, acquiring any Discourse involves becoming part of a community of practice, in the sense that a Discourse is the manifesta- tion of a culture – a way of acting and being in the world – and a commu- nity is a group of people with a shared culture (Rohde & Shaffer, 2004). I raise the Peace Corps’ attempt to bring volunteers into a community of practice regarding water puriication because it illustrates the dilemma of learning environments more generally. Volunteers go through a scaf- folded process of learning to purify water. They are, quite literally, new- comers, who move from easier and more peripheral participation in the practice, such as treating water with iodine, to more central and challeng- ing ones: determining what food is safe to eat under which conditions, for example, or securing a clean plate from which to eat. By the end of train- ing, all the volunteers are more or less a part of this community of shared practices.Then volunteers head to their posts,where for the most part they are the only member of that shared community for miles around.They are surrounded by a different culture with very different practices regarding the cleanliness of water. While I was in Nepal, an informal sampling of my fellow volunteers showed that some continued to treat their water at post, and some did not. And some of those who did not treat their water when they were at post continued to treat their water when they were around other volunteers in 8 Kathmandu. Some volunteers,in other words,enacted the practices of the community of volunteers without the original cultural surround, whereas others adopted the practices of their new surrounding context. Some were Crusoe and some were Merridew – and in saying this I want to be clear that I mean in no way to cast aspersions on Nepali culture because Americans do not ordinarily purify their own water individually either. Rather the question is about the persistence of the use of a particular coniguration of skills, knowledge, values, and decision-making processes – and thus also the display of identity – from one community when the original setting of practice is altered. In what follows I will argue that one productive way to think about conditions under which enculturation persists across context is by looking Cambridge Core terms of use, available at https://www.cambridge.org/core/terms. https://doi.org/10.1017/CBO9781139031127.028 to the",619
Page 8,"Models of Situated Action 411 at the extent to which a person has become proicient in a Discourse within its original context. That is, we can understand the extent to which learn- ing transfers by analyzing participation in (and thus enculturation into) a community of practice. One Productive Way, Part I: Framing a Discourse I want to draw particular attention to one key phrase in the preceding par- agraph: one productive way. Quite speciically, I want to point out that I am offering this idea – that we can examine the extent to which a person has become enculturated into a community of practice and use it to understand whether that person can mobilize the practices from that community in new situations – not as “the” solution to the problem of transfer but as an example of an approach to the study of learning that draws on both individ- ual and sociocultural perspectives. The approach I outline here, in effect, describes two theoretical constructs, each of which I have written about in more detail elsewhere, and brings them together to suggest a way of con- ceptualizing (and describing) the broader class of theories that the ield of learning needs to develop. The irst and more fundamental construct is an epistemic frame, which I have written about elsewhere as “the combination – linked and interre- lated – of values, knowledge, skills, epistemology, and identity” that people have as part of a particular community of practice (Shaffer, 2007, p. 160). The term draws on Papert’s (1980) use of the concept of epistemology as a particular way of thinking and on Dewey’s (1933) idea that knowing is doing to deine epistemology as a community’s norms for making decisions and justifying actions.The concept of a frame comes from Goffman (1974; see alsoTannen,1993),who argued that any activity is interpreted in terms of a frame: the organizational rules and premises,partly existing in the minds of participants and partly in the structure of the activity itself, that shape the perceptions of those involved. That is, a frame is something that is simul- taneously individual and social: a set of norms and practices through which experiences are interpreted. The terminology of epistemic frame is useful because one can think of such frames like a pair of glasses that colors the world in particular ways. They highlight some things as important and relevant and hide or elide otheraspectsofexperience;inthissense,theyareadescriptionofGoodwin’s (1994) concept of professional vision.And, of course, putting on such a frame marks one as the kind of person who sees the world in a particular way. At the same time, it is useful to describe such frames as “epistemic” because Cambridge Core terms of use, available at https://www.cambridge.org/core/terms. https://doi.org/10.1017/CBO9781139031127.028 to the",641
Page 9,"412 Shaffer they constitute a way of knowing and suggest that the practices of one community are no more or less fundamental than those of another. Thus there is no reason, a priori, to privilege the educational value of Discourses of school subjects over extant practices in the world – or over the practices that are employed in a game. All communities have ways of knowing, and the relevant question is: How useful are those practices to solve problems and attain goals that matter to someone or to some group of people? The concepts of epistemic frame and Discourse obviously share a lot in common, in the sense that “the combination – linked and interrelated – of values, knowledge, skills, epistemology, and identity” that people have as part of a particular community of practice can be seen as a more speciic description of a way of “talking, listening, writing, reading, acting, inter- acting, believing, valuing, and feeling (and using various objects, symbols, images, tools, and technologies).” In this sense, it can be quite useful to think of an epistemic frame as the grammar of a Discourse: a more formal description of the coniguration of elements of a Discourse exhibited by members of a particular community.However,there are at least four prop- erties of an epistemic frame that are distinct from the more general notion of a Discourse – although in making this comparison, I want to emphasize that one is not necessarily better than the other; rather, their different fea- tures are useful for different kinds of analyses. Three of these distinctions are important to note but not necessarily central to the utility of epistemic frames as a theoretical construct. First, describing the epistemic frame of a community requires specifying some set of elements of the Discourse of the community as being critical to the community’s way of seeing and acting in the world. These are usually described as skills, knowledge, identity, values, and/or epistemology, but those categories are clearly guidelines rather than a rigid formula. There may be settings in which only some of these elements are signiicant or analytical circumstances where only some can be observed.The choice and deinition of frame elements can come a priori from some theoretical or empirical analysis – that is, it can be an etic structure imposed on the data by the researcher – but more often (and more effectively) they arise from some ethnographic or other grounded examination of the community in action. In the same vein, the claim could never be that this listing of dis- course elements is exhaustive, only that it is suficient for the analysis at hand. Further, these discourse elements are often speech acts but need not be limited to verbal utterances.As in a Discourse, doing is a form of speak- ing – that is, traficking in meaningful symbols – just as speaking is a form of doing. Cambridge Core terms of use, available at https://www.cambridge.org/core/terms. https://doi.org/10.1017/CBO9781139031127.028 to the",646
